epoch,accuracy,categorical_accuracy,cross_entropy,learning_rate,loss,val_accuracy,val_categorical_accuracy,val_cross_entropy,val_loss
0,0.2083333283662796,0.2083333283662796,1.602076530456543,9.999999747378752e-05,1.602076530456543,1.0,1.0,1.5129936933517456,1.5129936933517456
1,0.6875,0.6875,1.524267315864563,9.999999747378752e-05,1.524267315864563,1.0,1.0,1.4094830751419067,1.4094830751419067
2,1.0,1.0,1.4009662866592407,9.999999747378752e-05,1.4009662866592407,1.0,1.0,1.3093408346176147,1.3093408346176147
3,1.0,1.0,1.3251771926879883,9.999999747378752e-05,1.3251771926879883,1.0,1.0,1.2084976434707642,1.2084976434707642
4,1.0,1.0,1.2097386121749878,9.999999747378752e-05,1.2097387313842773,1.0,1.0,1.1107555627822876,1.1107555627822876
5,1.0,1.0,1.1519750356674194,9.999999747378752e-05,1.1519750356674194,1.0,1.0,1.0143089294433594,1.0143089294433594
6,1.0,1.0,1.0310202836990356,9.999999747378752e-05,1.0310202836990356,1.0,1.0,0.9171066284179688,0.9171066284179688
7,1.0,1.0,0.9603095054626465,9.999999747378752e-05,0.9603095054626465,1.0,1.0,0.8216889500617981,0.8216889500617981
8,1.0,1.0,0.835796058177948,9.999999747378752e-05,0.8357959389686584,1.0,1.0,0.72895747423172,0.72895747423172
9,1.0,1.0,0.7921271920204163,9.999999747378752e-05,0.7921273112297058,1.0,1.0,0.6394439935684204,0.6394439935684204
10,1.0,1.0,0.6843686699867249,9.999999747378752e-05,0.6843686699867249,1.0,1.0,0.553962767124176,0.553962767124176
11,1.0,1.0,0.6065786480903625,9.999999747378752e-05,0.6065785884857178,1.0,1.0,0.47317633032798767,0.47317633032798767
12,1.0,1.0,0.5069239735603333,9.999999747378752e-05,0.5069239139556885,1.0,1.0,0.39917874336242676,0.39917874336242676
13,1.0,1.0,0.45643413066864014,9.999999747378752e-05,0.45643413066864014,1.0,1.0,0.33279407024383545,0.33279407024383545
14,1.0,1.0,0.35211822390556335,9.999999747378752e-05,0.35211822390556335,1.0,1.0,0.27306780219078064,0.27306780219078064
15,1.0,1.0,0.32614627480506897,9.999999747378752e-05,0.32614630460739136,1.0,1.0,0.22138261795043945,0.22138261795043945
16,1.0,1.0,0.28357091546058655,9.999999747378752e-05,0.28357091546058655,1.0,1.0,0.17809303104877472,0.17809303104877472
17,1.0,1.0,0.2083977609872818,9.999999747378752e-05,0.2083977907896042,1.0,1.0,0.14254413545131683,0.14254413545131683
18,1.0,1.0,0.19627885520458221,9.999999747378752e-05,0.19627885520458221,1.0,1.0,0.11376515030860901,0.11376515030860901
19,1.0,1.0,0.14168955385684967,9.999999747378752e-05,0.14168955385684967,1.0,1.0,0.09087953716516495,0.09087953716516495
20,1.0,1.0,0.14288294315338135,9.999999747378752e-05,0.14288294315338135,1.0,1.0,0.0726311206817627,0.0726311206817627
21,1.0,1.0,0.11519702523946762,9.999999747378752e-05,0.11519702523946762,1.0,1.0,0.05826708674430847,0.05826708674430847
22,1.0,1.0,0.07393526285886765,9.999999747378752e-05,0.07393526285886765,1.0,1.0,0.04714357852935791,0.04714357852935791
23,1.0,1.0,0.07799947261810303,9.999999747378752e-05,0.07799947261810303,1.0,1.0,0.03852546587586403,0.03852546587586403
24,1.0,1.0,0.05541462078690529,9.999999747378752e-05,0.05541462078690529,1.0,1.0,0.03180711343884468,0.03180711343884468
25,1.0,1.0,0.04716281220316887,9.999999747378752e-05,0.04716281220316887,1.0,1.0,0.02649560570716858,0.02649560570716858
26,1.0,1.0,0.0842292308807373,9.999999747378752e-05,0.0842292308807373,1.0,1.0,0.022246817126870155,0.022246817126870155
27,1.0,1.0,0.03771275281906128,9.999999747378752e-05,0.03771275281906128,1.0,1.0,0.018855856731534004,0.018855856731534004
28,1.0,1.0,0.027116606011986732,9.999999747378752e-05,0.027116606011986732,1.0,1.0,0.01615852862596512,0.01615852862596512
29,1.0,1.0,0.04700103774666786,9.999999747378752e-05,0.04700103774666786,1.0,1.0,0.014015008695423603,0.014015008695423603
30,1.0,1.0,0.026124827563762665,9.999999747378752e-05,0.026124827563762665,1.0,1.0,0.012261283583939075,0.012261283583939075
31,1.0,1.0,0.031744759529829025,9.999999747378752e-05,0.031744759529829025,1.0,1.0,0.010792701505124569,0.010792701505124569
32,1.0,1.0,0.03952040895819664,9.999999747378752e-05,0.03952040523290634,1.0,1.0,0.009539575316011906,0.009539575316011906
33,1.0,1.0,0.02684205025434494,9.999999747378752e-05,0.02684204839169979,1.0,1.0,0.008492564782500267,0.008492564782500267
34,1.0,1.0,0.017124248668551445,9.999999747378752e-05,0.017124248668551445,1.0,1.0,0.007610297296196222,0.007610297296196222
35,1.0,1.0,0.020453767850995064,9.999999747378752e-05,0.020453767850995064,1.0,1.0,0.0068706427700817585,0.0068706427700817585
36,1.0,1.0,0.02200888656079769,9.999999747378752e-05,0.02200888656079769,1.0,1.0,0.006221333518624306,0.006221333518624306
37,1.0,1.0,0.020086802542209625,9.999999747378752e-05,0.020086804404854774,1.0,1.0,0.005665427539497614,0.005665427539497614
38,1.0,1.0,0.01429805252701044,9.999999747378752e-05,0.014298051595687866,1.0,1.0,0.005178144667297602,0.005178144667297602
39,1.0,1.0,0.009663085453212261,9.999999747378752e-05,0.009663086384534836,1.0,1.0,0.004753735847771168,0.004753735847771168
40,1.0,1.0,0.013254585675895214,9.999999747378752e-05,0.013254586607217789,1.0,1.0,0.004376931115984917,0.004376931115984917
41,1.0,1.0,0.007660333067178726,9.999999747378752e-05,0.007660333067178726,1.0,1.0,0.004049844108521938,0.004049844108521938
42,1.0,1.0,0.011431802064180374,9.999999747378752e-05,0.011431802064180374,1.0,1.0,0.00375534500926733,0.00375534500926733
43,1.0,1.0,0.013662859797477722,9.999999747378752e-05,0.013662859797477722,1.0,1.0,0.0034819405991584063,0.0034819405991584063
44,1.0,1.0,0.012933168560266495,9.999999747378752e-05,0.01293316762894392,1.0,1.0,0.0032347580417990685,0.0032347580417990685
45,1.0,1.0,0.0067336224019527435,9.999999747378752e-05,0.006733622867614031,1.0,1.0,0.0030144117772579193,0.0030144117772579193
46,1.0,1.0,0.004993597511202097,9.999999747378752e-05,0.004993597511202097,1.0,1.0,0.002821552800014615,0.002821552800014615
47,1.0,1.0,0.008582661859691143,9.999999747378752e-05,0.008582661859691143,1.0,1.0,0.002647559391334653,0.002647559391334653
48,1.0,1.0,0.006291842088103294,9.999999747378752e-05,0.006291842088103294,1.0,1.0,0.0024875663220882416,0.0024875663220882416
49,1.0,1.0,0.005826868116855621,9.999999747378752e-05,0.005826868116855621,1.0,1.0,0.002343521686270833,0.002343521686270833
